,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
199,,,,BRN,CRNC,EXFY,RFIL,CTSO,
200,,,,DLHC,AMS,SSTI,SINT,INTZ,
201,,,,CRGO,BEEM,LUNG,SRTS,JYNT,
202,,,,ELLO,WYY,CNVS,GIFI,SKIL,
203,,,,INNPF,EDAP,KEQU,OSS,SSTI,
204,,,,FTK,SDOT,ORN,BRN,PPIH,
205,,,,USEG,ULBI,UTMD,OPAL,LAKE,
206,,,,SRTS,CRWS,BDSX,UAVS,FRSX,
207,,,,TYGO,XTNT,CTSO,SLND,EVC,
208,,,,BWAY,RGTI,SNCR,DVLT,CYN,
209,,,,KOSS,TWIN,PRPL,ICCC,BRN,
210,,,,SSTI,MGNX,USIO,NTIC,MSAI,
211,,,,INTZ,INUV,GIFI,LVLU,ZVIA,
212,,,,INLX,JYNT,ULBI,PROP,MXC,
213,,,,CREX,LPTH,NTIC,PSQH,TRUG,
214,,,,CETX,FSI,IRIX,JYNT,XTNT,
215,,,,LGVN,NOTE,ALTG,FKWL,UTMD,
216,,,,CMBM,CNTY,ASM,RPID,OESX,
217,,,,FEMY,EKSO,RDNW,UG,AGAE,
218,,,,BRAG,LTRX,SLND,EFOI,EPSN,
219,,,,EDAP,INVE,KGEI,APYX,MIND,
220,,,,AGAE,CTSO,RGS,CHCI,CRGO,
221,,,,ICCC,CLLS,ASUR,EPSN,ALTG,
222,,,,ASM,HBIO,LINK,ELA,ELA,
223,,,,CXAI,SOTK,MXC,KRMD,PLCE,
224,,,,MYO,AIRG,MNDO,SNCR,MCHX,
225,,,,INVE,KEQU,SMTI,INVZ,LCTX,
226,,,,PSQH,MAPS,OM,PRPL,APYX,
227,,,,CCRD,UG,CCRD,KOSS,ELMD,
228,,,,VERB,QUBT,OESX,UTMD,MAYS,
229,,,,OM,LCTX,FLXS,AXR,SLND,
230,,,,KRMD,AXR,CDLX,WFCF,FLGC,
