,Date,Symbol,Adj Close,Close,Dividends,Result Close,Condition,MMA_10
71,2020-11-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.55, 107.29, 139.08, 166.67, 148.17, 105.85, 50.16]","[86.41, 120.39, 160.02, 166.67, 156.24, 112.46, 55.18]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.41, 120.39, 160.02, 166.67, 156.24, 112.46, 55.18]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.5, 121.08, 162.86, 167.58, 134.18, 98.15, 51.95]"
72,2020-12-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.59, 107.04, 137.37, 178.36, 153.27, 109.77, 51.18]","[86.38, 119.95, 157.73, 178.36, 161.29, 116.21, 56.23]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.38, 119.95, 157.73, 178.36, 161.29, 116.21, 56.23]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.57, 121.35, 163.1, 170.57, 138.22, 100.58, 52.15]"
73,2021-01-29,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.6, 105.87, 132.38, 172.61, 155.71, 106.66, 50.25]","[86.4, 118.64, 152.0, 172.61, 163.86, 112.92, 55.13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.4, 118.64, 152.0, 172.61, 163.86, 112.92, 55.13]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.54, 121.07, 161.8, 173.03, 143.95, 103.76, 52.98]"
74,2021-02-26,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.56, 103.37, 124.79, 161.81, 154.8, 110.07, 49.67]","[86.32, 115.76, 143.12, 161.81, 162.9, 116.53, 54.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.32, 115.76, 143.12, 161.81, 162.9, 116.53, 54.41]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.49, 120.47, 159.44, 173.33, 148.35, 106.32, 53.42]"
75,2021-03-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.52, 100.9, 118.25, 159.96, 152.95, 115.55, 53.16]","[86.25, 112.93, 135.45, 159.96, 160.86, 121.78, 58.15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.25, 112.93, 135.45, 159.96, 160.86, 121.78, 58.15]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.45, 119.57, 156.63, 173.04, 151.84, 108.89, 54.24]"
76,2021-04-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.56, 101.91, 121.2, 165.66, 163.74, 121.1, 55.33]","[86.28, 113.99, 138.64, 165.66, 172.21, 127.63, 60.44]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.28, 113.99, 138.64, 165.66, 172.21, 127.63, 60.44]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.42, 118.78, 154.1, 172.86, 155.97, 112.06, 55.32]"
77,2021-05-28,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.61, 102.34, 121.2, 178.38, 162.01, 122.33, 55.95]","[86.32, 114.4, 138.44, 178.38, 170.39, 128.92, 61.04]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.32, 114.4, 138.44, 178.38, 170.39, 128.92, 61.04]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.39, 117.94, 150.84, 172.16, 158.99, 114.88, 56.09]"
78,2021-06-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.47, 103.39, 126.55, 165.63, 165.02, 126.44, 55.91]","[86.16, 115.49, 144.35, 165.63, 173.43, 132.87, 60.91]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.16, 115.49, 144.35, 165.63, 173.43, 132.87, 60.91]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.35, 117.34, 149.06, 170.24, 160.98, 117.41, 56.72]"
79,2021-07-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.6, 105.45, 131.26, 169.82, 166.54, 130.72, 57.96]","[86.29, 117.71, 149.52, 169.82, 175.03, 137.36, 63.06]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.29, 117.71, 149.52, 169.82, 175.03, 137.36, 63.06]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.32, 116.93, 147.68, 169.51, 163.74, 120.77, 57.66]"
80,2021-08-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.58, 105.03, 130.81, 169.69, 173.4, 134.42, 58.99]","[86.25, 117.17, 148.83, 169.69, 182.24, 141.25, 64.1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.25, 117.17, 148.83, 169.69, 182.24, 141.25, 64.1]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.31, 116.64, 146.81, 168.86, 167.84, 124.79, 58.87]"
81,2021-09-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.5, 103.35, 127.01, 164.22, 167.39, 125.74, 55.99]","[86.15, 115.22, 144.32, 164.22, 175.6, 131.73, 60.84]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.15, 115.22, 144.32, 164.22, 175.6, 131.73, 60.84]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.28, 116.13, 145.24, 168.61, 169.78, 126.72, 59.43]"
82,2021-10-29,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.24, 102.9, 130.14, 166.65, 181.77, 135.44, 58.62]","[85.85, 114.63, 147.69, 166.65, 190.68, 141.89, 63.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[85.85, 114.63, 147.69, 166.65, 190.68, 141.89, 63.6]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.23, 115.59, 144.24, 167.44, 172.72, 129.29, 60.17]"
83,2021-11-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.19, 104.02, 133.75, 165.5, 174.59, 134.62, 57.83]","[85.79, 115.8, 151.59, 165.5, 183.15, 141.03, 62.65]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[85.79, 115.8, 151.59, 165.5, 183.15, 141.03, 62.65]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.17, 115.31, 144.2, 166.73, 174.65, 132.1, 60.92]"
84,2021-12-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[77.03, 103.48, 131.05, 170.96, 173.74, 139.34, 63.44]","[85.54, 115.0, 148.19, 170.96, 181.82, 145.56, 68.63]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[85.54, 115.0, 148.19, 170.96, 181.82, 145.56, 68.63]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[86.09, 115.23, 144.7, 167.65, 176.54, 135.0, 62.34]"
85,2022-01-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[76.5, 101.29, 125.92, 168.09, 158.05, 129.65, 60.51]","[84.95, 112.57, 142.39, 168.09, 165.4, 135.44, 65.35]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.95, 112.57, 142.39, 168.09, 165.4, 135.44, 65.35]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[85.96, 115.2, 145.4, 168.46, 176.99, 136.37, 63.06]"
86,2022-02-28,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[76.17, 100.98, 123.87, 178.38, 153.82, 124.33, 59.12]","[84.56, 112.12, 139.87, 178.38, 160.97, 129.88, 63.74]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.56, 112.12, 139.87, 178.38, 160.97, 129.88, 63.74]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[85.79, 115.01, 145.52, 169.73, 175.87, 136.59, 63.39]"
