2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
STN,STN,SPGI,SPGI,SPGI,SPGI,MT,MT
STNE,STNE,SPHR,SPHR,SPHR,SPHR,MTA,MTA
STRT,STRT,SPTN,SPTN,SPTN,SPTN,MTCH,MTCH
SXT,SXT,SPXC,SPXC,SPXC,SPXC,MTN,MTN
SYY,SYY,SRDX,SRDX,SRDX,SRDX,MVST,MVST
TAP,TAP,SSNC,SSNC,SSNC,SSNC,MYSZ,MYSZ
TBRG,TBRG,SSRM,SSRM,SSRM,SSRM,NBR,NBR
TDW,TDW,STLA,STLA,STLA,STLA,NC,NC
TGS,TGS,STNG,STNG,STNG,STNG,NEOG,NEOG
THC,THC,STRR,STRR,STRR,STRR,NGVT,NGVT
TMO,TMO,SU,SU,SU,SU,NI,NI
TNET,TNET,SUPN,SUPN,SUPN,SUPN,NMM,NMM
TPB,TPB,SURG,SURG,SURG,SURG,NPKI,NPKI
TRGP,TRGP,SUZ,SUZ,SUZ,SUZ,NSIT,NSIT
TRI,TRI,SXT,SXT,SXT,SXT,NTGR,NTGR
TROX,TROX,TENB,TENB,TENB,TENB,NVR,NVR
TS,TS,TMO,TMO,TMO,TMO,NVS,NVS
TSSI,TSSI,TNL,TNL,TNL,TNL,NWE,NWE
TUSK,TUSK,TPL,TPL,TPL,TPL,NXPI,NXPI
TWIN,TWIN,TREE,TREE,TREE,TREE,ODC,ODC
TX,TX,TRIP,TRIP,TRIP,TRIP,OFIX,OFIX
UCL,UCL,TRMD,TRMD,TRMD,TRMD,OIS,OIS
UHS,UHS,TRN,TRN,TRN,TRN,OLED,OLED
UIS,UIS,TRP,TRP,TRP,TRP,OMEX,OMEX
UNF,UNF,TRUE,TRUE,TRUE,TRUE,ON,ON
UONE,UONE,TRX,TRX,TRX,TRX,OPRA,OPRA
UONEK,UONEK,TSCO,TSCO,TSCO,TSCO,OTIS,OTIS
UPS,UPS,TSM,TSM,TSM,TSM,OVV,OVV
USAS,USAS,TU,TU,TU,TU,PAGP,PAGP
USLM,USLM,TWIN,TWIN,TWIN,TWIN,PAHC,PAHC
USNA,USNA,TWLO,TWLO,TWLO,TWLO,PAYC,PAYC
UTMD,UTMD,TXRH,TXRH,TXRH,TXRH,PBA,PBA
VATE,VATE,UFPI,UFPI,UFPI,UFPI,PBI,PBI
VCYT,VCYT,UIS,UIS,UIS,UIS,PCH,PCH
VMC,VMC,UNH,UNH,UNH,UNH,PDEX,PDEX
VMD,VMD,UNP,UNP,UNP,UNP,PEGA,PEGA
VNT,VNT,UONE,UONE,UONE,UONE,PEN,PEN
VOXR,VOXR,UONEK,UONEK,UONEK,UONEK,PENG,PENG
VRSN,VRSN,USEG,USEG,USEG,USEG,PFGC,PFGC
VTOL,VTOL,USNA,USNA,USNA,USNA,PHI,PHI
VYX,VYX,UTHR,UTHR,UTHR,UTHR,PI,PI
WD,WD,UTI,UTI,UTI,UTI,PINC,PINC
WELL,WELL,UTMD,UTMD,UTMD,UTMD,PINS,PINS
WERN,WERN,UUUU,UUUU,UUUU,UUUU,PLAB,PLAB
WINA,WINA,VALE,VALE,VALE,VALE,PMTS,PMTS
WING,WING,VCYT,VCYT,VCYT,VCYT,PPL,PPL
WK,WK,VEON,VEON,VEON,VEON,PPSI,PPSI
WKC,WKC,VFF,VFF,VFF,VFF,PRKS,PRKS
WLKP,WLKP,VLO,VLO,VLO,VLO,PSIX,PSIX
WOW,WOW,VMD,VMD,VMD,VMD,PSO,PSO
WPM,WPM,VMI,VMI,VMI,VMI,RAIL,RAIL
WPP,WPP,VNDA,VNDA,VNDA,VNDA,RBBN,RBBN
WSO,WSO,VNT,VNT,VNT,VNT,REAL,REAL
WST,WST,VREX,VREX,VREX,VREX,REXR,REXR
WTTR,WTTR,VTOL,VTOL,VTOL,VTOL,RGCO,RGCO
XYL,XYL,VVV,VVV,VVV,VVV,RGEN,RGEN
YETI,YETI,W,W,W,W,RGP,RGP
YORW,YORW,WCC,WCC,WCC,WCC,RICK,RICK
YUM,YUM,WCN,WCN,WCN,WCN,RIG,RIG
ZD,ZD,WEX,WEX,WEX,WEX,RNG,RNG
ZWS,ZWS,WINA,WINA,WINA,WINA,ROAD,ROAD
AAP,AAP,WLKP,WLKP,WLKP,WLKP,RPAY,RPAY
ABCL,ABCL,WM,WM,WM,WM,RUSHA,RUSHA
ABEV,ABEV,WMG,WMG,WMG,WMG,RUSHB,RUSHB
