total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
6703,https://www.nyse.com/quote/XNGS:LFUS,564,COMMON_STOCK,LFUS,LFUS,LFUS,LFUS,LITTELFUSE INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LFVN,564,COMMON_STOCK,LFVN,LFVN,LFVN,LFVN,LIFEVANTAGE CORPORATION,XNCM
6703,https://www.nyse.com/quote/XNCM:LFWD,564,COMMON_STOCK,LFWD,LFWD,LFWD,LFWD,LIFEWARD LIMITED,XNCM
6703,https://www.nyse.com/quote/XNCM:LGCB,564,COMMON_STOCK,LGCB,LGCB,LGCB,LGCB,LINKAGE GLOBAL INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LGCL,564,COMMON_STOCK,LGCL,LGCL,LGCL,LGCL,LUCAS GC LIMITED,XNCM
6703,https://www.nyse.com/quote/XASE:LGCY,545,COMMON_STOCK,LGCY,LGCY,LGCY,LGCY,LEGACY EDUCATION INC,XASE
6703,https://www.nyse.com/quote/XNCM:LGHL,564,DEPOSITORY_RECEIPT,LGHL,LGHL,LGHL,LGHL,LION GROUP HOLDING LTD SPON ADS EACH REP 2500 ORD SHS (P/S),XNCM
6703,https://www.nyse.com/quote/XNYS:LGI,558,CLOSED_END_FUND,LGI,LGI,LGI,LGI,LAZARD GLOBAL TOTAL RETURN & INCOME,XNYS
6703,https://www.nyse.com/quote/XNGS:LGIH,564,COMMON_STOCK,LGIH,LGIH,LGIH,LGIH,LGI HOMES INC,XNGS
6703,https://www.nyse.com/quote/XASE:LGL,545,COMMON_STOCK,LGL,LGL,LGL,LGL,LGL GROUP INC,XASE
6703,https://www.nyse.com/quote/XNCM:LGMK,564,COMMON_STOCK,LGMK,LGMK,LGMK,LGMK,LOGICMARK INC,XNCM
6703,https://www.nyse.com/quote/XNMS:LGND,564,COMMON_STOCK,LGND,LGND,LGND,LGND,LIGAND PHARMACEUTICAL INC,XNMS
6703,https://www.nyse.com/quote/XNGS:LGO,564,COMMON_STOCK,LGO,LGO,LGO,LGO,LARGO INC,XNGS
6703,https://www.nyse.com/quote/XASE:LGPS,545,COMMON_STOCK,LGPS,LGPS,LGPS,LGPS,LOGPROSTYLE INC,XASE
6703,https://www.nyse.com/quote/XNCM:LGVN,564,COMMON_STOCK,LGVN,LGVN,LGVN,LGVN,LONGEVERON INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LH,558,COMMON_STOCK,LH,LH,LH,LH,LABCORP HOLDINGS INC,XNYS
6703,https://www.nyse.com/quote/XNCM:LHAI,564,COMMON_STOCK,LHAI,LHAI,LHAI,LHAI,LINKHOME HOLDINGS INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LHSW,564,COMMON_STOCK,LHSW,LHSW,LHSW,LHSW,LIANHE SOWELL INTL GROUP LTD,XNCM
6703,https://www.nyse.com/quote/XNYS:LHX,558,COMMON_STOCK,LHX,LHX,LHX,LHX,L3 HARRIS TECHNOLOGIES INC,XNYS
6703,https://www.nyse.com/quote/XNGS:LI,564,DEPOSITORY_RECEIPT,LI,LI,LI,LI,LI AUTO INC SPN ADS ECH REP 2 ORD SHS CL A,XNGS
6703,https://www.nyse.com/quote/XNCM:LICN,564,COMMON_STOCK,LICN,LICN,LICN,LICN,LICHEN INTERNATIONAL LIMITED,XNCM
6703,https://www.nyse.com/quote/XNCM:LIDR,564,COMMON_STOCK,LIDR,LIDR,LIDR,LIDR,AEYE INC,XNCM
6703,https://www.nyse.com/quote/XNMS:LIEN,564,COMMON_STOCK,LIEN,LIEN,LIEN,LIEN,CHICAGO ATLANTIC BDC INC,XNMS
6703,https://www.nyse.com/quote/XNGS:LIF,564,COMMON_STOCK,LIF,LIF,LIF,LIF,LIFE360 INC.,XNGS
6703,https://www.nyse.com/quote/XNYS:LII,558,COMMON_STOCK,LII,LII,LII,LII,LENNOX INTERNATIONAL INC,XNYS
6703,https://www.nyse.com/quote/XNGS:LILA,564,COMMON_STOCK,LILA,LILA,LILA,LILA,LIBERTY LATIN AMERICA LTD,XNGS
6703,https://www.nyse.com/quote/XNGS:LILAK,564,COMMON_STOCK,LILAK,LILAK,LILAK,LILAK,LIBERTY LATIN AMERICA LTD,XNGS
6703,https://www.nyse.com/quote/XNMS:LIMN,564,COMMON_STOCK,LIMN,LIMN,LIMN,LIMN,LIMINATUS PHARMA INC,XNMS
6703,https://www.nyse.com/quote/XNGS:LIN,564,COMMON_STOCK,LIN,LIN,LIN,LIN,LINDE PLC,XNGS
6703,https://www.nyse.com/quote/XNGS:LINC,564,COMMON_STOCK,LINC,LINC,LINC,LINC,LINCOLN EDUCATIONAL SERVICES CORP,XNGS
6703,https://www.nyse.com/quote/XNCM:LIND,564,COMMON_STOCK,LIND,LIND,LIND,LIND,LINDBLAD EXPEDITIONS HLDGS INC,XNCM
6703,https://www.nyse.com/quote/XNGS:LINE,564,COMMON_STOCK,LINE,LINE,LINE,LINE,LINEAGE INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LINK,564,COMMON_STOCK,LINK,LINK,LINK,LINK,INTERLINK ELECTRONICS INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LION,558,COMMON_STOCK,LION,LION,LION,LION,LIONSGATE STUDIOS CORP,XNYS
6703,https://www.nyse.com/quote/XNCM:LIPO,564,COMMON_STOCK,LIPO,LIPO,LIPO,LIPO,LIPELLA PHARMACEUTICALS INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LIQT,564,COMMON_STOCK,LIQT,LIQT,LIQT,LIQT,LIQTECH INTERNATIONAL INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LITB,558,DEPOSITORY_RECEIPT,LITB,LITB,LITB,LITB,LIGHTINTHEBOX HLDG CO LTD SPON ADR EA REPR 12 ORD USD0.00(POST REV),XNYS
