Symbol,Sector,DateType,Final_Score_PSR,Final_Score_GP/A,Final_Score_EV/EBIT,Final_Score_PER,Final_Score_CurrentRatio,Final_Score_PBR,Final_Score_DebtToEquityRatio,Final_Score_PCR,Final_Score_PFCR,Final_Score_ROE,Final_Score_OperatingMargin,Final_Score_FreeCashFlowMargin,Final_Score_RevenueGrowth,Final_Score_InterestCoverageRatio,Final_Score_Total
EVER,Communication Services,Year,52.29630637530164,91.24028626536786,50.73522396580903,51.31060470689391,47.31191076764783,55.034690550797684,55.78937872454927,55.272736831734086,52.58528543455653,56.45546447137567,51.898202124297214,51.80194414952401,67.52385825173542,53.27580478687087,56.60940695760436
RDVT,Technology,Year,52.15018673811373,84.67074785478673,48.71205412161172,49.88122073726218,72.0360962885362,52.80915772382012,64.65786960199529,54.8182083361037,52.28513004846185,50.39433601948443,52.48252563705038,52.07627102832295,48.62642412183983,52.363553578864526,56.499930672405235
PINS,Communication Services,Year,52.0882420582639,76.88770916563661,48.959335210767996,51.37312120900885,77.474921531572,55.15310559038839,55.706591628068566,54.167022041593995,47.228737050195086,58.26983473717619,51.900490058404415,51.933649284985634,54.9046610335558,53.34892828287435,56.38545349160656
SONO,Technology,Year,52.26025355161808,98.28133412485047,50.09811372361207,50.66160752900053,38.44152965279035,52.869841593276064,61.47012674360076,55.347577996783926,52.314271073384795,50.113850842785546,52.47510438473805,52.06960000379183,48.312377392169886,52.413249243277235,56.303165348221754
KARO,Technology,Year,52.28099317392862,94.55517110553302,50.3915464898347,50.74321931666114,38.64738646595305,53.55199152256549,62.82289354932844,56.515879529587366,52.627137266232474,50.88292012443027,52.58427119171554,52.05445270682225,48.598388279524876,52.61203190092806,56.28837948336791
SBSW,Basic Materials,Year,52.809116775876944,72.43335566369682,48.84947720685446,49.564344508357195,46.57288676149258,65.9544868647939,59.647745519379626,56.38882714051215,58.98397923016778,62.235173201534465,56.63393776255737,56.17166204515611,45.78094889757435,55.99274990299324,56.287049391496225
MYPS,Communication Services,Year,52.31195691792587,84.68175791043328,51.090536882307624,51.613875358595344,61.19079769827992,57.37353948561707,55.78579073963385,58.8249807308454,61.06133486201102,53.930295666841616,51.8611196774589,51.779808493967764,42.4871790601293,53.314081503913656,56.23621821342575
CCS,Real Estate,Year,72.80871841317861,69.36763971883848,49.61648890489368,50.21200174107844,67.46172360502695,56.23074819295705,69.15193507337838,44.92967904568337,52.82317424646275,49.337376974677426,52.3843595911353,52.090800186894924,46.34304874812759,53.723829015503625,56.17725167555976
ZEUS,Basic Materials,Year,52.81128951439502,97.28147585405566,45.75519272228018,46.16144505430473,51.21151837614331,64.20380204036155,52.28044124976536,54.38210382446731,56.944366992678766,53.54942181730594,56.0745369621539,56.12125626702028,44.323972060524106,55.100596745179864,56.157244248616855
CVLT,Technology,Year,52.176781320896126,98.35113197282364,49.43507211228193,50.209934181600346,36.21434076081299,50.800844143797335,63.99001629392886,55.164823918717104,52.1920313775977,51.64804733227425,52.50817240081612,52.138200512251494,48.42442926976752,52.58718406872171,56.153631232518336
NRDY,Technology,Year,52.24221427044833,96.94715817260793,50.40283031879736,50.76900997182927,47.360102821675746,52.307517381844825,64.8191342201698,50.26037044660491,50.88856728446356,49.96016360458372,52.46854545279826,52.0340848703038,48.69495806959839,52.363553578864526,56.14470688833439
TRUE,Communication Services,Year,52.27813486347641,88.10004310423798,51.39499426395614,51.743553554767416,71.27535035739112,56.68032493018405,55.37094294126562,50.19413769892664,50.073826909796466,53.87512319240798,51.861092944513786,51.728735885033146,48.16815115706442,53.27580478687087,56.14430118499229
NVDA,Technology,Year,51.84875655515451,92.15818650249514,49.379962527050154,49.75477834204001,59.221568214360246,50.04528050678859,60.088317446879394,52.977072483693206,51.573731941541595,52.52453480653769,52.72324030215571,52.224982750969794,49.42218153164505,52.60060153141359,56.137039707219216
STLD,Basic Materials,Year,52.77713186511948,84.04931428700426,47.60837628059506,48.10847598960446,46.74054303355219,55.97856413500692,56.34826986280155,55.6934476178665,58.09980793538986,65.20067189342069,56.48887641351523,56.318047875726606,45.20788534313422,57.24690632216666,56.13330848963597
UFPI,Basic Materials,Year,52.77584121538496,86.66056428489716,46.27797282453318,45.76060274402485,52.63732115856362,55.18044600592185,63.93652100934953,54.69881569911067,56.771661168468526,56.932955182298116,56.18784662597746,56.232892097668525,44.344183571083164,57.24690632216666,56.11746642210345
LAW,Technology,Year,52.19769635999015,84.965614285257,50.40283031879736,50.76900997182927,70.59693949103305,53.102483705496944,63.84739664135705,50.26037044660491,50.88856728446356,49.96016360458372,52.46854545279827,52.0340848703038,48.41936506410673,52.363553578864526,56.08524881491568
SLQT,Financial Services,Year,67.28308629611323,78.60888280177869,53.863985050380904,56.6194461623747,37.19347207336704,65.67259362741993,40.9212401838772,52.38819483175834,54.07153209007811,49.086932741598915,53.31139438449209,51.56434444962315,72.6701452477748,51.515934875049616,56.05508462969192
RMAX,Real Estate,Year,72.4411105197488,81.3017219110066,49.36417233212061,46.40074425275636,40.42351770165659,57.3316838938661,58.117431707998826,63.282814466310384,62.042126174981874,48.426883263171035,53.04711648382059,52.46713435200077,46.075513286823906,53.95102244320552,56.04807091353342
ZIP,Communication Services,Year,52.27463861583917,86.13067638557744,50.1253287249081,51.42281709326206,74.24849259551593,52.77758063332738,49.69586080787726,56.654605907333334,54.76570940359872,55.83873226781297,51.88189869565474,51.81043720942614,43.68375182042755,53.30568985146492,56.04401571514469
DRD,Basic Materials,Year,52.7460018877733,64.91454368190668,48.112808278298154,48.10400185040125,53.15845059720024,59.870288608343365,68.82781420991925,55.671712280916275,58.18003267557053,59.859678733084195,56.64553876154485,56.367847558604225,45.742723371113996,56.216279440034896,56.0298372810508
OOMA,Technology,Year,52.24836357332881,98.51308884997039,50.40283031879736,50.76900997182927,35.45624001108288,52.56987253533704,59.02157161751368,54.79396043108027,52.238884286205625,49.96016360458372,52.46854545279826,52.06136918852151,48.68407918345037,52.363553578864526,56.02243396125925
CORT,Healthcare,Year,52.096531433849606,97.41406629169934,48.44521907915714,49.90837697495275,47.11369051821433,52.38845867118558,57.988090554596695,51.945191934324555,53.97639138556751,52.211148170066174,53.824284893306256,53.31961896424603,47.8277335736306,53.85881888028828,56.01579280098309
