2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
VTLE,VTLE,TK,TK,TK,TK,SNN,SNN
WDC,WDC,TNC,TNC,TNC,TNC,SNT,SNT
WDS,WDS,TPR,TPR,TPR,TPR,SPG,SPG
WEN,WEN,TRGP,TRGP,TRGP,TRGP,SPGI,SPGI
WES,WES,TRI,TRI,TRI,TRI,SPOT,SPOT
WHD,WHD,TYL,TYL,TYL,TYL,SSP,SSP
WLFC,WLFC,UGP,UGP,UGP,UGP,STNG,STNG
WLK,WLK,UHS,UHS,UHS,UHS,STRA,STRA
WMG,WMG,UPWK,UPWK,UPWK,UPWK,STRL,STRL
WMK,WMK,USAC,USAC,USAC,USAC,STRT,STRT
WNC,WNC,USFD,USFD,USFD,USFD,SUPN,SUPN
WTS,WTS,USLM,USLM,USLM,USLM,SXC,SXC
XHR,XHR,V,V,V,V,SXT,SXT
XPEL,XPEL,VLGEA,VLGEA,VLGEA,VLGEA,TCOM,TCOM
YPF,YPF,VRSK,VRSK,VRSK,VRSK,TDW,TDW
A,A,WDFC,WDFC,WDFC,WDFC,TENB,TENB
AAPL,AAPL,WLFC,WLFC,WLFC,WLFC,TG,TG
ABG,ABG,WNC,WNC,WNC,WNC,TGS,TGS
ADUS,ADUS,YETI,YETI,YETI,YETI,TMO,TMO
AEHR,AEHR,YUM,YUM,YUM,YUM,TNL,TNL
AEIS,AEIS,AAPL,AAPL,AAPL,AAPL,TOL,TOL
AER,AER,ABEV,ABEV,ABEV,ABEV,TPB,TPB
AFYA,AFYA,ACU,ACU,ACU,ACU,TRN,TRN
AIT,AIT,ADT,ADT,ADT,ADT,TSN,TSN
ALE,ALE,ADUS,ADUS,ADUS,ADUS,TTD,TTD
AMH,AMH,AGI,AGI,AGI,AGI,TXG,TXG
AOSL,AOSL,AGRO,AGRO,AGRO,AGRO,TXRH,TXRH
ARRY,ARRY,ALAR,ALAR,ALAR,ALAR,TZOO,TZOO
ASC,ASC,ALE,ALE,ALE,ALE,UAL,UAL
ASGN,ASGN,ALG,ALG,ALG,ALG,UNF,UNF
ASH,ASH,AMCX,AMCX,AMCX,AMCX,USAC,USAC
ATGE,ATGE,AMH,AMH,AMH,AMH,USLM,USLM
ATO,ATO,ARLO,ARLO,ARLO,ARLO,UTI,UTI
ATR,ATR,ARLP,ARLP,ARLP,ARLP,VCYT,VCYT
AVTR,AVTR,ARMN,ARMN,ARMN,ARMN,VITL,VITL
AWI,AWI,AROC,AROC,AROC,AROC,VLGEA,VLGEA
AXL,AXL,ARRY,ARRY,ARRY,ARRY,VMI,VMI
AXR,AXR,ASML,ASML,ASML,ASML,VNT,VNT
AXTA,AXTA,ASTE,ASTE,ASTE,ASTE,VRSN,VRSN
BATL,BATL,ASUR,ASUR,ASUR,ASUR,VTOL,VTOL
BCC,BCC,ATEN,ATEN,ATEN,ATEN,WDFC,WDFC
BDC,BDC,ATGE,ATGE,ATGE,ATGE,WES,WES
BEPC,BEPC,ATO,ATO,ATO,ATO,WKC,WKC
BOOM,BOOM,ATUS,ATUS,ATUS,ATUS,WLFC,WLFC
BOXL,BOXL,AVNT,AVNT,AVNT,AVNT,WMK,WMK
BSX,BSX,AVY,AVY,AVY,AVY,WOR,WOR
BTI,BTI,AWR,AWR,AWR,AWR,WPM,WPM
BTU,BTU,BBSI,BBSI,BBSI,BBSI,WTS,WTS
BUD,BUD,BCPC,BCPC,BCPC,BCPC,WWW,WWW
BWLP,BWLP,BDL,BDL,BDL,BDL,XYL,XYL
BXC,BXC,BDX,BDX,BDX,BDX,YETI,YETI
BYD,BYD,BJRI,BJRI,BJRI,BJRI,ZBRA,ZBRA
BZH,BZH,BKR,BKR,BKR,BKR,AA,AA
CALM,CALM,BLBD,BLBD,BLBD,BLBD,ABT,ABT
CARS,CARS,BLD,BLD,BLD,BLD,ACM,ACM
CAT,CAT,BP,BP,BP,BP,ACNT,ACNT
CC,CC,BR,BR,BR,BR,ADT,ADT
CCEC,CCEC,BRFS,BRFS,BRFS,BRFS,AES,AES
CCI,CCI,BRID,BRID,BRID,BRID,AFYA,AFYA
CCK,CCK,BRO,BRO,BRO,BRO,AGRO,AGRO
CECO,CECO,BSY,BSY,BSY,BSY,AIT,AIT
CHCI,CHCI,BWLP,BWLP,BWLP,BWLP,AJG,AJG
CHH,CHH,BYD,BYD,BYD,BYD,ALK,ALK
CHRD,CHRD,CAKE,CAKE,CAKE,CAKE,ALKS,ALKS
CHRW,CHRW,CAT,CAT,CAT,CAT,AMH,AMH
CLW,CLW,CBT,CBT,CBT,CBT,AMSC,AMSC
CMG,CMG,CBZ,CBZ,CBZ,CBZ,ANGI,ANGI
CMRE,CMRE,CHCI,CHCI,CHCI,CHCI,APPF,APPF
CNH,CNH,CHEF,CHEF,CHEF,CHEF,APPN,APPN
CNI,CNI,CHT,CHT,CHT,CHT,AR,AR
COTY,COTY,CIGI,CIGI,CIGI,CIGI,ARKO,ARKO
CP,CP,CL,CL,CL,CL,ARTNA,ARTNA
CPK,CPK,CLB,CLB,CLB,CLB,ATEN,ATEN
CPT,CPT,CLW,CLW,CLW,CLW,ATGE,ATGE
CRAI,CRAI,CMCSA,CMCSA,CMCSA,CMCSA,ATO,ATO
CSBR,CSBR,COKE,COKE,COKE,COKE,AUPH,AUPH
CSGS,CSGS,COLM,COLM,COLM,COLM,AVTR,AVTR
CTAS,CTAS,CSPI,CSPI,CSPI,CSPI,AXL,AXL
CVLG,CVLG,CTRE,CTRE,CTRE,CTRE,AZN,AZN
CVS,CVS,CVI,CVI,CVI,CVI,BBSI,BBSI
CWCO,CWCO,CVNA,CVNA,CVNA,CVNA,BBU,BBU
CWST,CWST,CX,CX,CX,CX,BDL,BDL
CXT,CXT,CXDO,CXDO,CXDO,CXDO,BIIB,BIIB
DAC,DAC,CYH,CYH,CYH,CYH,BIP,BIP
DAVA,DAVA,CZR,CZR,CZR,CZR,BJRI,BJRI
DBX,DBX,DAN,DAN,DAN,DAN,BLBD,BLBD
DCBO,DCBO,DCI,DCI,DCI,DCI,BLFS,BLFS
DEO,DEO,DIS,DIS,DIS,DIS,BRBR,BRBR
DHR,DHR,DIT,DIT,DIT,DIT,BRO,BRO
DHX,DHX,DJCO,DJCO,DJCO,DJCO,BSY,BSY
DK,DK,DUK,DUK,DUK,DUK,BWA,BWA
DLHC,DLHC,DVA,DVA,DVA,DVA,CAAP,CAAP
DLX,DLX,DXCM,DXCM,DXCM,DXCM,CAH,CAH
DTE,DTE,DXPE,DXPE,DXPE,DXPE,CAT,CAT
EB,EB,EB,EB,EB,EB,CCEC,CCEC
EC,EC,EDN,EDN,EDN,EDN,CCEL,CCEL
EML,EML,EGAN,EGAN,EGAN,EGAN,CCJ,CCJ
EPAM,EPAM,EGO,EGO,EGO,EGO,CCL,CCL
